	place	name	text	relation	xml	date
146	pl__wien-immo_schenkenstrasse_2	Ulrich Peck Haus	Ulreichs Pekchen	pe__ulrich_peck_SB_CD_01433	01433-eintrag_vom_1448-07-29.xml	1448-07-29
147	pl__wien-immo_krafthof_1	Niklas Graefenauer Haus	seines	pe__niklas_graefenauer_SB_CD_01434	01434-eintrag_vom_1448-06-14.xml	1448-06-14
148	pl__wien-immo_krafthof_2	Johann Nagler Haus	Hannsen des Nagler	pe__johann_nagler_SB_CD_01434	01434-eintrag_vom_1448-06-14.xml	1448-06-14
149	pl__wien-immo_roterturm_1	Stephan und Barbara Holfus Haus	ir	pe__barbara_SB_CD_01686	01686-eintrag_vom_1448-04-22.xml	1448-04-22
150	pl__wien-immo_roterturm_1	Stephan und Barbara Holfus Haus	ir	pe__stephan_holfues_SB_CD_01686	01686-eintrag_vom_1448-04-22.xml	1448-04-22
151	pl__wien-immo_salzgries_3	Stephan und Katharina Radendorfer Haus	ir	pe__katharina_SB_CD_01687	01687-eintrag_vom_1448-05-27.xml	1448-05-27
152	pl__wien-immo_salzgries_3	Stephan und Katharina Radendorfer Haus	ir	pe__stephan_radendorfer_SB_CD_01687	01687-eintrag_vom_1448-05-27.xml	1448-05-27
153	pl__wien-immo_salzgries_4	Johann Zwettler am Salzgriess Haus	Hannsen Zwetler	pe__johann_zwettler_QGW_II_II_3524	01687-eintrag_vom_1448-05-27.xml	1448-05-27
154	pl__wien-immo_baeckerstrasse_vordere_1	Stephan Vink Haus	seins	pe__stephan_vink_SB_CD_01693	01693-eintrag_vom_1448-12-13.xml	1448-12-13
155	pl__wien-immo_baeckerstrasse_vordere_2	Niklas vom Stein, der fleischhacker, Haus	Niclasen vom Stain	pe__niklas_vom_stein_QGW_II_II_2407	01693-eintrag_vom_1448-12-13.xml	1448-12-13
156	pl__wien-immo_kohlmarkt_9	Simon und Barbara Brunner Haus	ir	pe__barbara_SB_CD_01693a	01693a-eintrag_vom_1448.xml	1448
157	pl__wien-immo_kohlmarkt_9	Simon und Barbara Brunner Haus	ir	pe__simon_brunner_SB_CD_01693a	01693a-eintrag_vom_1448.xml	1448
158	pl__wien-immo_kohlmarkt_10	Paul Haid, der schuster, Haus	Paulen Haid des	pe__paul_haid_SB_CD_01693a	01693a-eintrag_vom_1448.xml	1448
159	pl__wien-immo_roterturm_3	Thomas Praitenweidacher Haus	seinem	pe__thomas_praitenweidacher_QGW_II_II_3462	01767-eintrag_vom_1448-06-23.xml	1448-06-23
160	pl__wien-immo_roterturm_3	Thomas Praitenweidacher Haus	sein	pe__thomas_praitenweidacher_QGW_II_II_3462	01768-eintrag_vom_1448-06-28.xml	1448-06-28
161	pl__wien-immo_mietstat_vor_kaerntnertor_1	Ulrich und Barbara Meichsner Haus Haus an der Mietstat	ir	pe__barbara_SB_CD_01693	01840-eintrag_vom_1448-04-19.xml	1448-04-19
162	pl__wien-immo_mietstat_vor_kaerntnertor_1	Ulrich und Barbara Meichsner Haus Haus an der Mietstat	ir	pe__ulrich_meichsner_QGW_II_II_3553	01840-eintrag_vom_1448-04-19.xml	1448-04-19
163	pl__wien-immo_schenkenstrasse_3	Ulrich Lang, der pekch, Haus	sein	pe__ulrich_lang_SB_CD_01841	01841-eintrag_vom_1448-08-13.xml	1448-08-13
164	pl__wien-immo_schenkenstrasse_4	Burkhard Kienberger Haus	hern	pe__burkhard_kienberger_QGW_II_III_4957	01841-eintrag_vom_1448-08-13.xml	1448-08-13
165	pl__wien-immo_schenkenstrasse_1	Niklas und Katharina Vaschang Haus	Niclasen des Vaschang	pe__niklas_vaschang_SB_CD_01433	01841-eintrag_vom_1448-08-13.xml	1448-08-13
166	pl__wien-immo_st_pankraz_1	Ulrich Hesler Haus	seinem	pe__ulrich_hesler_QGW_II_II_3684	01842-eintrag_vom_1448-11-27.xml	1448-11-27
167	pl__wien-immo_st_pankraz_2	Andreas Weinperger Haus	Anndre des Weinperger	pe__andreas_weinperger_SB_CD_01842	01842-eintrag_vom_1448-11-27.xml	1448-11-27
168	pl__wien-immo_alter_fleischmarkt_2	Wolfgang Holczer Haus und zuhaus	sein	pe__wolfgang_holczer_SB_CD_01926	01926-eintrag_vom_1448-12-20.xml	1448-12-20
169	pl__wien-immo_alter_fleischmarkt_3	Stephan Hittendorfer, des peler, Haus	Steffans Hittendorffer des Peler	pe__stephan_hittendorffer_01926_SB_CD_01926	01926-eintrag_vom_1448-12-20.xml	1448-12-20
